Word,Frequency
louisiana,6
opinion,6
shell,6
como,6
horrible,6
comparing,6
obvious,6
ahead,6
supporting,6
looked,6
whats,6
th,6
apart,6
lith,6
stuff,6
happens,6
yo,6
indiana,6
response,6
become,6
false,6
mature,6
quit,6
kaitlin,6
running,6
crowd,6
winner,6
break,6
however,6
jerk,6
drug,6
ignorance,6
clear,6
shine,6
taught,6
dunk,6
culture,6
sc,6
nail,6
keeping,5
recall,5
earned,5
post,5
teach,5
higher,5
saw,5
popularity,5
loud,5
attendance,5
success,5
power,5
mentality,5
cow,5
male,5
mind,5
barbie,5
ya,5
likely,5
bitch,5
dignity,5
disrespected,5
brain,5
involved,5
bottom,5
house,5
super,5
image,5
sky,5
honest,5
shave,5
sideline,5
blew,5
follow,5
fucking,5
arch,5
arent,5
pt,5
sloth,5
bb,5
demon,5
positive,5
lmao,5
commentary,5
whatever,5
living,5
terrible,5
laughing,5
rule,5
pointer,5
single,5
smoked,5
thinking,5
smart,5
ppl,5
rodman,5
agree,5
gone,5
style,5
gift,5
born,5
front,5
degree,5
weird,5
po,5
bag,5
pulled,5
minute,5
consider,5
almost,5
complete,5
learned,5
gold,5
deserves,5
selfish,5
luck,5
deserve,5
major,5
eat,5
soon,5
james,5
wilson,5
literally,5
worth,5
missing,5
paying,5
interest,5
lead,5
somebody,5
arrogance,5
cute,5
he,5
chick,5
compare,5
type,5
knowing,5
view,5
focused,5
opponent,5
allowed,5
cried,5
sh,5
upset,5
hack,5
bar,5
youtube,5
superstar,5
smh,5
extremely,5
se,5
lo,5
clumsy,5
known,5
sick,5
community,5
inside,5
perfect,5
bit,5
proved,5
bias,5
beast,5
superior,5
idea,5
lowlife,5
bullshit,5
roy,5
became,5
absolutely,5
total,5
worked,5
slow,5
biased,4
forward,4
dropped,4
pete,4
eyebrow,4
proper,4
cat,4
four,4
sponsorship,4
pistol,4
yr,4
katlin,4
average,4
scoring,4
schoolyard,4
stupidity,4
contribute,4
dollar,4
loss,4
thanks,4
pointing,4
control,4
reaction,4
friend,4
moment,4
mate,4
immediately,4
bayou,4
needed,4
princess,4
wouldve,4
fault,4
antic,4
remembered,4
considered,4
grade,4
offensive,4
bat,4
interesting,4
tournament,4
rees,4
maturity,4
often,4
immaturity,4
dump,4
bling,4
tv,4
ruined,4
reed,4
prof,4
mustache,4
followed,4
earth,4
stick,4
card,4
michael,4
huge,4
trump,4
hero,4
soft,4
ekipo,4
el,4
todo,4
fue,4
accomplishment,4
shooter,4
bet,4
deal,4
nemesis,4
vision,4
aspect,4
delusional,4
worthless,4
una,4
seo,4
forehead,4
victim,4
mark,4
strength,4
generational,4
behaviour,4
several,4
ignore,4
die,4
wmba,4
outside,4
forgot,4
sound,4
honestly,4
jugadora,4
champ,4
hatred,4
live,4
bringing,4
source,4
ashamed,4
truly,4
looser,4
raciest,4
schooled,4
fouled,4
respectful,4
score,4
proven,4
shaq,4
aja,4
early,4
body,4
insecure,4
hearing,4
five,4
ago,4
envious,4
flagrant,4
drafted,4
performance,4
broke,4
repeatedly,4
fine,4
town,4
poorly,4
generation,4
draft,4
idiotic,4
decision,4
public,4
pushing,4
tough,4
entitled,4
business,4
banned,4
manner,4
opposite,4
youll,4
insane,4
cast,4
shadow,4
tony,4
till,4
talker,4
worry,4
bench,4
rock,4
praise,4
hyped,4
gave,4
sunny,4
open,4
education,4
cover,4
compete,4
trouble,4
state,4
warrior,4
heat,4
disgrace,4
tennis,4
pig,4
kill,4
poser,4
youve,4
wearing,4
everyday,4
loses,4
yea,4
conversation,4
using,4
spirit,4
egregious,4
final,4
w,4
ur,4
extra,4
imo,4
nonsense,4
letting,4
hlv,4
badly,4
turnover,4
bigger,4
mcdonalds,4
woke,4
shouldnt,4
viewership,4
father,4
pressure,4
paint,3
quarter,3
obsessing,3
beef,3
dunking,3
boom,3
polite,3
folk,3
remarkable,3
interview,3
suspended,3
easier,3
grease,3
failed,3
amount,3
center,3
clock,3
deserved,3
maravich,3
choice,3
huh,3
tiger,3
thrown,3
cripple,3
viewer,3
ended,3
gotten,3
adult,3
apparently,3
successful,3
smashed,3
wrist,3
goose,3
golden,3
griner,3
lil,3
pick,3
crybaby,3
legging,3
spot,3
picture,3
angry,3
asshole,3
serious,3
switched,3
nowhere,3
personal,3
wan,3
kinda,3
heavy,3
choke,3
le,3
sense,3
field,3
si,3
fuck,3
bunch,3
ratchet,3
criticized,3
j,3
ironic,3
classier,3
definition,3
war,3
base,3
blown,3
amgiho,3
stat,3
load,3
constantly,3
ta,3
espn,3
id,3
sitting,3
nuff,3
twice,3
walk,3
commentator,3
voice,3
classed,3
excuse,3
lame,3
feeling,3
grown,3
smoke,3
switch,3
tall,3
dei,3
emotion,3
reef,3
accept,3
sooner,3
hoo,3
improve,3
diaper,3
obsessed,3
admit,3
por,3
scored,3
picked,3
hurting,3
f,3
dumbass,3
iq,3
showboating,3
thumb,3
fg,3
multiple,3
catlins,3
roty,3
alone,3
created,3
grave,3
nike,3
eurogroup,3
professionalism,3
push,3
taunt,3
swoop,3
vote,3
everyones,3
ask,3
dog,3
perfectly,3
da,3
hilarious,3
blame,3
mr,3
intelligence,3
force,3
headed,3
naked,3
animal,3
fist,3
happen,3
insult,3
disgraceful,3
asf,3
realized,3
social,3
outcome,3
sit,3
individual,3
room,3
locker,3
jugadoras,3
faster,3
check,3
leader,3
enemy,3
alot,3
fighting,3
unsportsmanlike,3
explain,3
sore,3
society,3
usual,3
reeces,3
wing,3
unless,3
contest,3
value,3
cold,3
buy,3
energy,3
injury,3
cut,3
grew,3
wash,3
allstar,3
rather,3
dennis,3
salty,3
jelous,3
intentionally,3
ground,3
coaching,3
behaving,3
fight,3
personality,3
harder,3
air,3
travel,3
leaving,3
inch,3
catch,3
happened,3
quite,3
favorite,3
tail,3
kick,3
deep,3
movie,3
seek,3
faith,3
death,3
system,3
mentioned,3
normal,3
wondering,3
door,3
nation,3
holy,3
member,3
shutting,3
turning,3
blind,3
disgust,3
recce,3
bank,3
avg,3
shed,3
carried,3
president,3
scared,3
listen,3
urban,3
pad,3
wild,3
seriously,3
upbringing,3
biggest,3
vile,3
due,3
kim,3
increase,3
exciting,3
fair,3
draining,3
haileys,3
recognized,3
integrity,3
stuck,3
rough,3
loose,3
baiting,3
finally,3
longer,3
werent,3
owner,3
epic,3
strong,3
focusing,3
athletic,3
root,3
subscribed,3
sacrificed,3
hayley,3
hasnt,3
master,3
bait,3
sweet,3
mistake,3
brings,3
eating,3
waved,3
moved,3
save,3
elite,3
prejudice,3
loved,3
box,3
witnessed,3
rose,3
owned,3
named,3
stayed,3
ooze,3
dominant,3
badass,3
lying,3
exact,3
bless,3
useless,3
build,3
decided,3
payback,3
dad,3
veteran,3
guarding,3
book,3
chasing,3
brought,3
clout,3
happening,3
freaking,3
legged,2
stiff,2
reaching,2
profit,2
gratitude,2
dream,2
barkley,2
unfair,2
pointed,2
found,2
notice,2
insulted,2
baller,2
article,2
standpoint,2
plain,2
brutal,2
theyll,2
aau,2
allowing,2
fined,2
king,2
rival,2
referring,2
respected,2
phoenix,2
diehard,2
ordinary,2
dang,2
blk,2
medal,2
cup,2
goodness,2
sudden,2
progress,2
gain,2
mud,2
otherwise,2
wnbas,2
kawhi,2
entertaining,2
rise,2
chant,2
chance,2
joy,2
shitty,2
grudge,2
roman,2
gameit,2
vice,2
theory,2
whitey,2
sind,2
rat,2
modeled,2
reference,2
rcst,2
debate,2
creek,2
sa,2
cheek,2
impact,2
gpa,2
rachet,2
idol,2
samson,2
deception,2
light,2
yesterday,2
coco,2
sucked,2
legacy,2
felt,2
baltimore,2
narrator,2
bronze,2
censor,2
statement,2
legit,2
station,2
og,2
simpleton,2
hateful,2
option,2
vast,2
yesr,2
music,2
celtic,2
golf,2
actual,2
maam,2
smack,2
yt,2
month,2
couple,2
stephanie,2
define,2
hypocrisy,2
message,2
azz,2
heart,2
cnn,2
belongs,2
present,2
week,2
scottie,2
giveth,2
cheer,2
uproar,2
sided,2
cooked,2
astounding,2
jimmy,2
influence,2
demonstrated,2
inferior,2
dress,2
tea,2
layout,2
toilet,2
turd,2
hopeless,2
airball,2
dark,2
sister,2
congratulation,2
count,2
forever,2
being,2
official,2
project,2
matched,2
peace,2
punch,2
anywhere,2
spirited,2
christ,2
chump,2
language,2
area,2
bla,2
defeat,2
consecutive,2
given,2
vindicated,2
overlook,2
gaze,2
whyte,2
tripping,2
speaking,2
fo,2
messy,2
dying,2
fing,2
celebrated,2
claas,2
although,2
bball,2
later,2
temperament,2
graceful,2
add,2
neither,2
mocking,2
picking,2
receiving,2
order,2
asked,2
wrestling,2
endeavor,2
prior,2
greater,2
stock,2
stink,2
whenever,2
fit,2
responsible,2
taco,2
wave,2
across,2
dirt,2
phenom,2
university,2
everytime,2
drag,2
brilliant,2
rarely,2
account,2
mad,2
weave,2
humanity,2
subbed,2
gross,2
silly,2
soooooo,2
holder,2
intimidated,2
weakness,2
addition,2
profile,2
trophy,2
participation,2
transferred,2
continues,2
wnbabut,2
dragging,2
recognize,2
afraid,2
sheesh,2
hence,2
sub,2
flat,2
incredibly,2
sock,2
gym,2
vindictive,2
tanking,2
shameful,2
claw,2
forced,2
disingenuous,2
arena,2
reeese,2
past,2
appreciating,2
catlyn,2
shape,2
test,2
grader,2
per,2
kawaii,2
bruh,2
host,2
lewis,2
huey,2
anthem,2
schooling,2
jelly,2
noticed,2
commissioner,2
honor,2
moving,2
versus,2
flapping,2
waving,2
sometimes,2
spite,2
red,2
checked,2
surprised,2
bullied,2
qualify,2
chennedy,2
react,2
support,2
abuse,2
endorsement,2
egotistical,2
hopefully,2
tourist,2
stalking,2
city,2
chicken,2
anus,2
dead,2
bible,2
bbq,2
sold,2
throwing,2
removed,2
playground,2
httpsyoutuberqzpfgcsirggiecbyevnsperu,2
case,2
pitiful,2
worried,2
tear,2
teen,2
hole,2
hated,2
parking,2
haha,2
caity,2
itch,2
handling,2
jealouscc,2
haunt,2
volleyball,2
famous,2
describe,2
scorer,2
aka,2
matchup,2
surprise,2
shreveport,2
mirror,2
coward,2
agency,2
finish,2
revenue,2
negatively,2
changed,2
fly,2
flow,2
minimal,2
defend,2
candle,2
nd,2
mother,2
caliber,2
classnot,2
cancel,2
attacking,2
divide,2
tactic,2
innocent,2
gay,2
uooo,2
waaaa,2
junior,2
grievous,2
caitlan,2
controversy,2
telling,2
whine,2
gutter,2
immer,2
mess,2
prophetic,2
waste,2
overall,2
helping,2
saving,2
opportunity,2
executive,2
saved,2
ángel,2
destroying,2
despite,2
current,2
creep,2
mama,2
oder,2
explanation,2
du,2
receive,2
targeting,2
committed,2
outraged,2
art,2
earlier,2
tallent,2
stopped,2
highlight,2
stomp,2
popular,2
ni,2
un,2
carter,2
fell,2
form,2
ride,2
drizzle,2
blatant,2
acted,2
recognition,2
authentic,2
bullie,2
declined,2
worthy,2
ankle,2
african,2
everywhere,2
roll,2
shouldve,2
bum,2
trans,2
note,2
detractor,2
reveals,2
twisted,2
accountable,2
held,2
reputation,2
earn,2
aside,2
amazed,2
corrected,2
desperate,2
helped,2
justice,2
signal,2
digan,2
setting,2
park,2
weirdo,2
nada,2
eso,2
expert,2
rank,2
growing,2
passion,2
outplayed,2
tale,2
shark,2
empty,2
seat,2
hows,2
lucky,2
mostly,2
unapologetic,2
special,2
waiting,2
logo,2
related,2
para,2
ella,2
ma,2
disturbing,2
dislike,2
ban,2
lifetime,2
trick,2
absolute,2
pile,2
rebounder,2
louder,2
fame,2
physical,2
affect,2
injured,2
disappointed,2
confident,2
responded,2
rabid,2
wheres,2
ein,2
privileged,2
intimidate,2
brag,2
decade,2
consequence,2
amateur,2
fashion,2
resign,2
knocked,2
accurate,2
quick,2
taurasi,2
vega,2
blow,2
kevin,2
round,2
europe,2
magazine,2
checking,2
surprising,2
goofy,2
reach,2
predict,2
